Date,Preference,US Weather Impact Rating,Net Trust,NPS,EventsCamp/Vend_Campaign_Flag,Visits_Critical_Event_Flag,SEM_Google_Spend,Preload_IronSource_Aura_Spend,Programmatic_Bidease_Spend,Preload_Digital_Turbine_Spend,Programmatic_Tapjoy_Spend,SEM_Apple_Search_Ads_Spend,Programmatic_LiftOff_Spend,Programmatic_IronSource_Sonic_Spend,Programmatic_Persona.ly_Spend,Twitter_TikTok_Combined_Spend,Brand_Spend,Influencer_Spend,SEM_Google_Impressions,Preload_IronSource_Aura_impressions,Programmatic_Bidease_Clicks,Preload_Digital_Turbine_launches,Programmatic_Tapjoy_Clicks,SEM_Apple_Search_Ads_Impressions,Programmatic_LiftOff_Impressions,Programmatic_IronSource_Sonic_Impressions,Programmatic_Persona.ly_Clicks,Twitter_TikTok_Combined_Impressions,Brand_Impressions,Influencer_Daily_Impressions,OrganicSearch_Google_Clicks,SocialEng_Twitter_Total_Engagements,SocialEng_Facebook_Estimated_Clicks,SocialEng_LinkedIn_Impressions,SocialEng_TikTok_Impressions,SocialEng_YouTube_Estimated_Clicks,SocialEng_Instagram_Estimated_Clicks,OrganicSearch_Google_Clicks_Paid_Spend,SocialEng_Facebook_Estimated_Clicks_Paid_Spend,SocialEng_YouTube_Estimated_Clicks_Paid_Spend,SocialEng_Instagram_Estimated_Clicks_Paid_Spend,SocialEng_Twitter_Total_Engagements_Paid_Spend,SocialEng_LinkedIn_Impressions_Paid_Spend,SocialEng_TikTok_Impressions_Paid_Spend,Preference_Paid_Spend,Net_Trust_Paid_Spend,NPS_Paid_Spend,Overall_Web_Visits
01-09-2021,0.31,0.3333333333333333,0.67,0.76,0,1,0.19101792651932104,0.18938980129395627,0.025105791228673537,0.4248439687152077,0.0,0.13451003123051106,0.0,0.0,0.0,0.0,0.0,0.0,0.07407201871548309,0.19379850729609263,5.423058192668242e-07,0.4696969696969697,0.0,0.2216645254012151,0.0,0.0,0.0,0.0,0.0,0.0,0.2579668858788849,0.13218254396375012,0.067090262286766,0.031508280764011375,0.0,0.0,0.0,0.08352996881795909,0.01890615333478118,0.0,0.0,0.06031205293075634,0.018576287024536807,0.0,0.05848294178513867,0.050471742512751175,0.10372693406904938,23167856
02-09-2021,0.31,0.24999999999999994,0.67,0.76,0,0,0.09822191577612568,0.2789531820885377,0.02063489690027962,0.35440236899608707,0.0,0.10715281489057264,0.0,0.0,0.0,0.0,0.0,0.0,0.04378097469127639,0.291300497816009,0.0,0.6818181818181819,0.0,0.1730151558042811,0.0,0.0,0.0,0.0,0.0,0.0,0.11978667633495177,0.11733736109612687,0.2847856766582338,0.025881405479833135,0.0,0.0,0.0,0.027598178401083265,0.05947040963882811,0.0,0.0,0.0396739483416473,0.011307358564229902,0.0,0.03897578029579047,0.03255234128377448,0.07686535594057571,14865412
03-09-2021,0.31,0.16666666666666669,0.67,0.76,0,0,0.08787977418696784,0.2775299515676778,0.0326719200921094,0.4082406693060708,0.0,0.057555351190277035,0.0,0.0,0.0,0.0,0.0,0.0,0.03654738065101165,0.2904968486535156,5.423058192668242e-07,0.4696969696969697,0.0,0.1222807743396555,0.0,0.0,0.0,0.0,0.0,0.0,0.07070190355371861,0.036918761462940985,0.03958039320252597,0.018952716247222504,0.0,0.0,0.0,0.008308037548109416,0.00639785641053514,0.0,0.0,0.009662462622779812,0.006409385079945054,0.0,0.02636341045237918,0.02096653902362801,0.059497982521383413,12257619
04-09-2021,0.31,0.16666666666666669,0.67,0.76,0,0,0.08897396179036421,0.2813171406722261,0.028888855660391465,0.4410638307701547,0.0,0.08703278193893216,0.0,0.0,0.0,0.0,0.0,0.0,0.036628851567075356,0.2598614449314294,0.0,0.36363636363636365,0.0,0.11017355137948305,0.0,0.0,0.0,0.0,0.0,0.0,0.04216401027353148,0.012169597583342323,0.06095744750037395,6.691703573311266e-05,0.0,0.0,0.0,0.008797593524530835,0.011665311657511945,0.0,0.0,0.003770787942630714,2.6791485058062216e-05,0.0,0.034309392952933955,0.028265768522682415,0.07043968871798642,11328414
05-09-2021,0.31,0.08333333333333331,0.67,0.76,0,0,0.09446629302253814,0.20524562106259786,0.02648145102202551,0.43794551493788775,0.0,0.10826476697384757,0.0,0.0,0.0,0.0,0.0,0.0,0.03813940893834344,0.22154672698996183,0.0,0.5757575757575758,0.0,0.11477092088931472,0.0,0.0,0.0,0.0,0.0,0.0,0.06471231286198731,0.019333261408997732,0.000347938060521712,5.522847053955586e-05,0.0,0.0,0.0,0.015918648049681516,7.188130954117776e-05,0.0,0.0,0.006467039071132227,2.3870833222830078e-05,0.0,0.03837891438978869,0.032004056508699315,0.07604346495581898,11701347
06-09-2021,0.31,0.08333333333333331,0.67,0.76,0,0,0.07908840123418379,0.1813845089399512,0.05812162626912093,0.37604579073559913,0.0,0.09883382179046289,0.0,0.0,0.0,0.0,0.0,0.0,0.03337040850383189,0.2056523324428702,5.423058192668242e-07,0.42424242424242425,0.0,0.1238431722666202,0.0,0.0,0.0,0.0,0.0,0.0,0.03295669344649532,0.023022979825223864,0.06071681743982622,0.002098681880503123,0.0,0.0,0.0,0.006287310273865213,0.011319684061376786,0.0,0.0,0.006949813632397463,0.0008185824686006912,0.0,0.03299049161821857,0.027054217461750095,0.06862354692485312,10886616
07-09-2021,0.31,0.16666666666666669,0.67,0.76,1,0,0.09805901227092714,0.18832768896495636,0.07394171389266864,0.3518476598772076,0.0,0.11198795269697362,0.0,0.0,0.0,0.0,0.07101165503640927,0.0,0.035230464297634115,0.1956216003036008,5.423058192668242e-07,0.7272727272727273,0.0,0.15206976896108704,0.0,0.0,0.0,0.0,0.5171595045345374,0.0,0.08422270180373945,0.09938504693062898,0.055897712713721764,0.017413916639490754,0.0,0.0,0.0,0.07981646397099855,0.027545944129428623,0.0,0.0,0.07929959905528028,0.017953561185594526,0.0,0.11488211545447044,0.10228037815230069,0.1813892229021712,14342133
08-09-2021,0.31,0.16666666666666669,0.67,0.76,1,0,0.11017602262558165,0.25426969156257967,0.08769831182618838,0.41546130285545335,0.0,0.12442318804408863,0.0,0.0,0.0,0.0,0.09916106545714842,0.0,0.03867664468919829,0.23063986843965562,5.423058192668242e-07,0.5757575757575758,0.0,0.17685854582670993,0.0,0.0,0.0,0.0,0.6966341563881635,0.0,0.11370681243465741,0.11146833531125255,0.09418390640140996,0.03306315214888427,0.0,0.19047619047619047,0.0,0.12776169097679702,0.05974124446730335,0.13760647632785936,0.0,0.11448152353369072,0.043876536816975786,0.0,0.1527093228579945,0.1370286887768678,0.23347770782123925,15163229
09-09-2021,0.31,0.16666666666666669,0.67,0.76,1,0,0.11620278211700107,0.37109597853926174,0.08460307729114644,0.40050262631488986,0.0,0.10054349709985173,0.0,0.0,0.046874496569959616,0.0,0.09839487538987356,0.0,0.04417022462358075,0.24043992350450563,5.423058192668242e-07,0.42424242424242425,0.0,0.15924754480325762,0.0,0.0,0.021631943454840822,0.0,0.6003362844618585,0.0,0.0840203210129975,0.06609127198187506,0.038718677445159104,0.053476939045301375,0.0,0.0,0.0,0.10708376379403016,0.024142923665518977,0.0,0.0,0.06672671990425914,0.06976320233752817,0.0,0.14983391449522868,0.13438732057075076,0.22951823855504816,13097831
10-09-2021,0.31,0.08333333333333331,0.67,0.76,1,0,0.15699082043110787,0.3781028853040069,0.12312155150500173,0.30722571524925735,0.0,0.11441953780290445,0.0,0.0,0.07819258652883018,0.0,0.10335382535148145,0.0,0.06727018117242552,0.25508419713216307,0.0,0.3787878787878788,0.0,0.23615345251834594,0.0,0.0,0.03491321572092228,0.0,0.6040004186674023,0.0,0.040795233574587864,0.03881756392275326,0.06253129816665907,0.13284054342477297,0.0,0.047619047619047616,0.0,0.08984187687079931,0.04241139965711081,0.036784637232777154,0.0,0.042628471097175706,0.18849781652724049,0.0,0.16445441541817796,0.14781780467014222,0.24965083078450562,10400498
